Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
F,4/16/2021,128,44,18,3,,,2,1,,,
F,4/17/2021,107,33,13,1,,,,,,,
F,4/18/2021,124,39,19,3,1,,,,,,
F,4/19/2021,119,40,12,5,1,1,,1,,,
F,4/20/2021,135,43,17,4,1,,,2,,,
F,4/21/2021,122.5,40,13,4,1,,1,,,,
F,4/22/2021,175,43,21,8,1,1,1,,,,
F,4/23/2021,119,37,16,,,,2,,,,
F,4/24/2021,110.5,26,8,,1,,,,,,
F,4/25/2021,98,26,7,2,,1,,,,,
F,4/26/2021,115,41,12,3,2,,,,,,
F,4/27/2021,137,31,17,,,1,,,,,
F,4/28/2021,101,27,6,2,2,,,,,,
F,4/29/2021,123,43,14,5,1,,,1,,,
F,4/30/2021,142,47,24,6,,,,,,1,
F,5/1/2021,123.5,34,15,4,,,,,,,
F,5/2/2021,134,32,11,3,1,1,,1,1,,
F,5/3/2021,103.5,44,15,2,1,,,,,,
F,5/4/2021,143,37,17,2,1,,,,,,
F,5/5/2021,115,44,14,3,2,1,,1,,,
F,5/6/2021,131.5,36,13,6,1,1,1,,,,
F,5/7/2021,107.5,38,13,2,,,,,1,,
F,5/8/2021,130,29,13,,,,,1,1,,
F,5/9/2021,106,41,12,2,,,,,,,
F,5/10/2021,163,39,16,5,3,1,1,1,,,
F,5/11/2021,108,28,7,3,,1,,1,,,
F,5/12/2021,120,37,15,2,2,,,,,,
F,5/13/2021,138.5,41,19,7,1,,,,,,
F,5/14/2021,141,33,16,4,2,,,,,,
F,5/15/2021,110.5,30,10,3,,,,,,,
F,5/16/2021,108,45,17,2,1,,,,,,
F,5/17/2021,213,31,10,6,2,1,,4,,,
F,5/18/2021,113,39,12,1,2,1,,1,,1,
F,5/19/2021,112,38,9,4,,2,,1,,,
F,5/20/2021,99,37,13,1,,,,,,1,
F,5/21/2021,119.5,34,13,4,,,,,,,
F,5/22/2021,124,32,14,2,,,,,,,
F,5/23/2021,132,33,13,4,1,,,,,,
F,5/24/2021,125,42,20,3,,,,1,,,
F,5/25/2021,130,35,17,2,,1,,,,,
F,5/26/2021,99,31,10,3,,1,,,,,
F,5/27/2021,120,37,14,4,,,,,1,,
F,5/28/2021,108,34,8,1,,,1,1,,,
F,5/29/2021,118,30,12,2,,,,1,,,
F,5/30/2021,104,43,12,2,,,,1,,1,
F,5/31/2021,77,39,9,2,1,,,1,,,
F,6/1/2021,97,39,12,3,,,,1,,,
F,6/2/2021,103,37,13,2,,,,,,,
F,6/3/2021,145,35,20,2,1,,,,,,
F,6/4/2021,128,39,16,2,1,1,,,,,
F,6/5/2021,127,35,14,2,,1,1,,,,
F,6/6/2021,125.5,36,15,3,1,,,,,,
F,6/7/2021,120.5,33,13,,,3,,,,,
F,6/8/2021,122.5,44,16,3,1,,1,,,1,
F,6/9/2021,121.5,45,19,3,1,,,,,,
F,6/10/2021,113,34,12,3,1,,,,,,
F,6/11/2021,147,37,16,3,2,1,,,,,
F,6/12/2021,101,38,13,3,,,,,,,
F,6/13/2021,86.5,33,5,,,,,1,2,,
F,6/14/2021,102,38,14,1,,,1,1,,,
F,6/15/2021,130,44,19,2,3,,,1,,,
F,6/16/2021,112.5,36,14,,2,,,,,,
F,6/17/2021,136,40,15,5,1,2,,,,,
F,6/18/2021,111,34,11,2,2,,,,,,
F,6/19/2021,108,25,9,1,,,,,,,
F,6/20/2021,108,38,12,2,,,,,,,
F,6/21/2021,120,42,14,6,,,1,,,,
F,6/22/2021,135,33,15,3,1,,,,,,
F,6/23/2021,104,39,11,1,,,,1,,,
F,6/24/2021,136,37,15,3,1,1,,,,,
F,6/25/2021,109,41,10,8,,,,,,,
F,6/26/2021,97,34,10,,,,,1,,,
F,6/27/2021,89,36,9,3,1,,,,,,
F,6/28/2021,119,35,12,1,,,1,2,,,
F,6/29/2021,134,30,12,3,,1,,,,,
F,6/30/2021,129,41,17,2,1,,1,1,,,
F,7/1/2021,111.5,35,9,1,1,,1,,,,
F,7/2/2021,122,34,15,2,,,,1,,,
F,7/3/2021,71.5,22,1,4,,,,,,,
F,7/4/2021,80,32,8,,,,,,,,
F,7/5/2021,100.5,35,9,1,,,,3,,,
F,7/6/2021,153,33,14,3,1,,1,,,,
F,7/7/2021,121,37,18,2,,,,,,,
F,7/8/2021,90,40,11,3,,,,,1,,
F,7/9/2021,121,36,17,1,,1,,,,,
F,7/10/2021,124,42,15,3,,1,,,,,
F,7/11/2021,117.5,37,15,1,,1,,,,,
F,7/12/2021,126,46,17,4,3,,,,,,
F,7/13/2021,162,35,15,3,1,1,,1,,,
F,7/14/2021,131,43,15,7,,,,1,,,
F,7/15/2021,111,36,9,5,1,1,,,,,
F,7/16/2021,125,44,11,6,3,,,2,,,
F,7/17/2021,139,33,14,5,2,1,,1,,,
F,7/18/2021,192,36,15,1,5,2,1,1,,,
F,7/19/2021,155.5,42,15,8,3,,1,1,,,
F,7/20/2021,135,36,12,7,,,,1,,,
