Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
C,4/25/2021,99.5,12,1,1,,,,,,,
C,4/26/2021,323,7,,,,1,,,,,
C,4/27/2021,143,11,4,2,,,,,,,
C,4/28/2021,96,3,1,,,,,,,,
C,4/29/2021,87.5,9,,,,,1,,,,
C,4/30/2021,120,10,4,,,,,,,,
C,5/1/2021,68,7,1,,,,,,,,
C,5/2/2021,110.5,7,2,,1,,,,,,
C,5/3/2021,74,7,1,1,,,,,,,
C,5/4/2021,47,2,,,,,,,,,
C,5/5/2021,83.5,6,1,,,,,,,,
C,5/6/2021,91,7,1,,,,,,,,
C,5/7/2021,245,2,,1,,,,,,,
C,5/8/2021,61,4,,,,,,,,,
C,5/9/2021,69.5,4,1,,,,,,,,
C,5/10/2021,105,11,3,,,,,,,,
C,5/11/2021,124,6,2,,,,,,,,
C,5/12/2021,77,9,,1,,,,,,,
C,5/13/2021,81,13,2,,,,,,,,
C,5/14/2021,100,8,3,,,,,,,,
C,5/15/2021,98,6,,,,,,,,,
C,5/16/2021,284,1,,1,,,,,,,
C,5/17/2021,129.5,14,4,,,,,,,,
C,5/18/2021,90,8,1,,,,,,,,
C,5/19/2021,109,11,4,1,,,,,,,
C,5/20/2021,105.5,6,1,1,,,,,,,
C,5/21/2021,77,5,1,,,,,,,,
C,5/22/2021,128,4,2,,,,,,,,
C,5/23/2021,59,10,,,,,,,,,
C,5/24/2021,146,7,1,1,,,,,,,
C,5/25/2021,94,1,,,,,,,,,
C,5/26/2021,158,6,3,,,,,,,,
C,5/27/2021,717,2,,,,,1,,,,
C,5/28/2021,110,4,1,,,,,,,,
C,5/29/2021,103,6,1,,,,,,,,
C,5/30/2021,77,6,1,,,,,,,,
C,5/31/2021,140.5,4,1,,,,,,,,
C,6/1/2021,22,9,,,,,,,,,
C,6/2/2021,104,12,1,,,,1,,,,
C,6/3/2021,65,10,,,,,,,,,
C,6/4/2021,97.5,8,1,,,,,,,,
C,6/5/2021,103,8,3,,,,,,,,
C,6/6/2021,77,4,,,,,,,,,
C,6/7/2021,123.5,10,4,,,,,,,,
C,6/8/2021,99,14,5,,,,,,,,
C,6/9/2021,90,6,1,,,,,,,,
C,6/10/2021,104.5,10,3,,,,,,,,
C,6/11/2021,240,8,1,4,,,,,,,
C,6/12/2021,69.5,5,1,,,,,,,,
C,6/13/2021,76,5,1,,,,,,,,
C,6/14/2021,53,10,1,,,,,,,,
C,6/15/2021,80,6,1,,,,,,,,
C,6/16/2021,117,8,2,,,,,,,,
C,6/17/2021,110,10,2,1,,,,,,,
C,6/18/2021,110,2,,,,,,,,,
