
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"5/4/21","131","5","2","1","","","","","","",""
"5/5/21","182","6","2","2","","","","","","",""
"5/6/21","123","7","3","1","","","","","","",""
"5/7/21","57.5","8","1","","","","","","","",""
"5/8/21","47.5","6","","","","","","","","",""
"5/9/21","122.5","10","2","2","1","","","","","",""
"5/10/21","97.5","8","3","","","","","","","",""
"5/11/21","38","3","","","","","","","","",""
"5/12/21","42","5","1","","","","","","","",""
"5/13/21","35","3","","","","","","","","",""
"5/14/21","85","5","","1","1","","","","","",""
"5/15/21","69.5","6","1","","","","","","","",""
"5/16/21","80","3","1","","","","","","","",""
"5/17/21","90","7","2","1","","","","","","",""
"5/18/21","52","5","1","","","","","","","",""
"5/19/21","71","7","","1","","","","","","",""
"5/20/21","84","3","","","","","","","","",""
"5/21/21","82.5","8","1","1","","","","","","",""
"5/22/21","36","3","","","","","","","","",""
"5/23/21","95","5","","","","","","","","",""
"5/24/21","88","5","1","","","","","","","",""
"5/25/21","23","4","","","","","","","","",""
"5/26/21","126.5","3","","1","","","","","","",""
"5/27/21","105","11","2","","","","1","","","",""
"5/28/21","80","3","1","","","","","","","",""
"5/29/21","53.5","6","1","","","","","","","",""
"5/30/21","72","1","","","","","","","","",""
"5/31/21","73","5","1","1","","","","","","",""
"6/1/21","95","8","","1","1","","","","","",""
"6/2/21","143.5","4","1","1","","","","","","",""
"6/3/21","72","3","1","","","","","","","",""
"6/4/21","207","3","2","1","","","","","","",""
"6/5/21","136.5","8","2","2","","","","","","",""
"6/6/21","72","4","1","","","","","","","",""
"6/7/21","83.5","4","","","","","","","","",""
"6/8/21","137.5","7","2","1","","","","","","",""
"6/9/21","31","7","1","","","","","1","","",""
"6/10/21","75","6","","","","","","","","",""
"6/11/21","13.5","3","","","","","","","","",""
"6/12/21","50","7","1","","","","","","","",""
"6/13/21","129","6","1","2","","","","","","",""
