
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"8/20/22","49","6","","","","","","","","",""
"8/21/22","82.5","5","","1","","","","","","",""
"8/22/22","38","5","1","","","","","","","",""
"8/23/22","107","7","1","1","","","","1","","",""
"8/24/22","40","4","","","","","","","","",""
"8/25/22","78","7","1","","","","","1","","",""
"8/26/22","71","4","","","1","","","","","",""
"8/27/22","78","7","1","","","","","","","",""
"8/28/22","48","6","1","","","","","","","",""
"8/29/22","59","4","","","","1","","","","",""
"8/30/22","79.5","10","2","","","","","","","",""
"8/31/22","58","7","1","","","","","1","","",""
"9/1/22","79","4","","1","","","","","","",""
"9/2/22","120","8","2","1","","","","1","","",""
"9/3/22","120","3","2","","","","","","","",""
"9/4/22","154","3","3","","","","","","","",""
"9/5/22","46","10","","","","","","","","",""
"9/6/22","48.5","4","","","","","","","","",""
"9/7/22","112","4","1","","","","","","","",""
"9/8/22","53","6","","","","","","1","","",""
"9/9/22","79","6","","2","","","","","","",""
"9/10/22","358","1","","1","","","","","","",""
"9/11/22","52","3","","","","","","","","",""
"9/12/22","49","5","1","","","","","","","",""
"9/13/22","54.5","9","","","","","","1","","",""
"9/14/22","50","3","","","","","","","","",""
"9/15/22","131","15","4","1","","","","3","","",""
"9/16/22","134","5","2","","","","","1","","",""
"9/17/22","43","3","1","","","","","","","",""
"9/18/22","62","4","","","","","","","","",""
"9/19/22","97","9","1","1","","1","","","","",""
"9/20/22","96","4","","","","","","","","",""
"9/21/22","56.5","4","","","","","","","","",""
"9/22/22","77","8","3","","","","","","","",""
"9/23/22","80.5","6","1","","","","","","","",""
"9/24/22","106","5","","","2","","","","","",""
"9/25/22","72","5","1","","","","","","","",""
"9/26/22","148","2","","1","","","","","","",""
"9/27/22","134","4","2","","","1","","","","",""
"9/28/22","64","4","","1","","","","","","",""
"9/29/22","216","5","1","1","","1","","","","",""
"9/30/22","41","1","","","","","","","","",""
"10/1/22","93","5","2","","","","","","","",""
"10/2/22","41","5","","","","","","","","",""
"10/3/22","81","8","1","","","","","1","","",""
"10/4/22","555.5","2","","","","","","1","","",""
"10/5/22","76","5","1","","","","","","","",""
"10/6/22","54.5","6","1","","","","","","","",""
"10/7/22","114","5","","1","","","","","","",""
"10/8/22","85","4","1","","","","","","","",""
"10/9/22","70","4","","","","","","","","",""
"10/10/22","89.5","4","1","","","","","","","",""
"10/11/22","450.5","6","","","","","","2","1","",""
"10/12/22","97","5","1","","","","","","","",""
"10/13/22","147","5","2","1","","","","","","",""
"10/14/22","113","6","2","","","","","","","",""
"10/15/22","132","6","2","1","","","","","","",""
"10/16/22","95","5","1","1","","","","","","",""
"10/17/22","150","2","1","","","","","","","",""
"10/18/22","85","3","","","","","","1","","",""
"10/19/22","46","5","","","1","","","1","","",""
"10/20/22","77","5","1","","","","","","","",""
"10/21/22","106","10","1","2","1","","","","","",""
"10/22/22","78","7","","","","","","","","",""
"10/23/22","167.5","4","2","","","","","","1","",""
"10/24/22","84.5","7","","","","","","1","","",""
"10/25/22","101","4","2","","","","","","","",""
"10/26/22","76","5","1","","","","","1","","",""
"10/27/22","112","8","1","2","","","","","","",""
"10/28/22","113","7","2","","1","","","","","",""
"10/29/22","85.5","5","1","","","","","","","",""
"10/30/22","87.5","6","2","","","","","","","",""
"10/31/22","74","7","","","","","","","","",""
"11/1/22","119","3","1","","","","","","","",""
"11/2/22","75","3","","","","","","","","",""
"11/3/22","64.5","8","3","","","","","","","",""
"11/4/22","38","1","","","","","","","","",""
"11/5/22","102","2","1","","","","","","","",""
"11/6/22","103","7","2","1","","","","","","",""
"11/7/22","133","3","2","","","","","","","",""
"11/8/22","216","4","1","1","","","","","","",""
"11/9/22","141","4","2","1","","","","","","",""
"11/10/22","96.5","8","2","","","","","1","","",""
"11/11/22","85.5","4","1","","","","","","","",""
"11/12/22","139","5","1","2","","","","","","",""
"11/13/22","76.5","2","","","","","","","","",""
"11/14/22","46.5","8","","","","","1","","","",""
"11/15/22","89","3","1","","","","","","","",""
"11/16/22","132","5","2","2","","","","","","",""
"11/17/22","58.5","2","","","","","","","","",""
"11/18/22","109","4","2","","","","","","","",""
"11/19/22","130.5","3","1","","","","","","","",""
"11/20/22","58","8","1","","","","","","","",""
"11/21/22","95","10","","","","","","","","",""
"11/22/22","54","7","","","","","1","","","",""
"11/23/22","28","2","","","","","","","","",""
"11/24/22","79.5","4","1","","","","","","","",""
"11/25/22","146.5","6","3","","","","","1","","",""
"11/26/22","62","3","1","","","","","","","",""
"11/27/22","44","13","1","1","","","","","","",""
"11/28/22","82","8","2","1","","","","","","",""
"11/29/22","86","3","1","","","","","","","",""
"11/30/22","141","3","1","1","","","","","","",""
"12/1/22","93","7","1","","","1","","","","",""
"12/2/22","98.5","6","2","","","","","","","",""
"12/3/22","31","3","","","","","","","","",""
"12/4/22","109","1","","","","","","","","",""
"12/5/22","56","7","","","1","","","","","",""
"12/6/22","84.5","8","1","1","","1","","","","",""
"12/7/22","59.5","6","","","","","","","","",""
"12/8/22","95","6","1","","","1","","","","",""
"12/9/22","142.5","6","4","","","","","","","",""
"12/10/22","26","4","","","","","","","","",""
"12/11/22","143.5","8","5","","","","","","","",""
"12/12/22","94.5","2","1","","","","","","","",""
"12/13/22","178","5","2","","","","","1","","",""
"12/14/22","77","3","","","","","","","","",""
"12/15/22","56","4","","1","","","","","","",""
"12/16/22","52","4","","1","","","","","","",""
"12/17/22","31","3","","","","1","","","","",""
"12/18/22","44","5","","","","","","","","",""
"12/19/22","145","1","1","","","","","","","",""
"12/20/22","114","6","2","","","","","","","",""
"12/21/22","24","8","1","","","","","","","",""
"12/22/22","","1","","","","","","","","",""
"12/23/22","98.5","6","1","","","","","","","",""
"12/24/22","100","6","1","1","","","","","","",""
"12/25/22","66","3","1","","","","","","","",""
"12/26/22","81","7","1","","","","","","","",""
"12/27/22","121.5","7","1","","","","1","","","",""
"12/28/22","64","6","1","","","","","","","",""
"12/29/22","414","4","","","","","","1","","",""
"12/30/22","75","7","","2","","","","","","",""
"12/31/22","23","6","","","1","","","","","",""
"1/1/23","56","4","","","","1","","","","",""
"1/2/23","48","3","","","","","","","","",""
"1/3/23","45","4","","","","","","1","","",""
"1/4/23","68","4","","1","","","","","","",""
"1/5/23","170","3","1","","","","","","","",""
"1/6/23","81.5","5","","1","","","","","","",""

