Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
E,5/1/2021,166,58,22,4,7,4,2,,,,
E,5/2/2021,160,42,16,5,,1,1,2,,,
E,5/3/2021,128,63,20,5,1,1,2,1,,,
E,5/4/2021,174,62,27,6,6,,,,,1,
E,5/5/2021,137,57,27,3,2,1,,,,,
E,5/6/2021,152,54,23,7,3,,,,,,
E,5/7/2021,130,47,26,2,2,,,,,,
E,5/8/2021,131.5,47,16,9,1,1,,,,,
E,5/9/2021,135,53,24,6,1,,,,,,
E,5/10/2021,135,54,27,5,1,,,,,,
E,5/11/2021,156,45,19,10,1,,,,,,
E,5/12/2021,152,61,27,11,4,,,,,,
E,5/13/2021,192,51,18,4,10,,4,1,,,
E,5/14/2021,194,67,25,12,6,3,3,1,,,
E,5/15/2021,138,45,21,4,1,,,,,,
E,5/16/2021,135,52,21,5,1,,1,,,,
E,5/17/2021,119.5,58,21,3,1,2,,,,,
E,5/18/2021,132,61,24,7,,,,,,,
E,5/19/2021,239,65,19,15,5,4,2,3,,,
E,5/20/2021,191.5,63,28,19,1,1,,,,,
E,5/21/2021,185,56,31,4,2,2,,2,,,
E,5/22/2021,204,50,17,10,4,2,1,,,,
E,5/23/2021,168,55,21,9,1,,3,,,,
E,5/24/2021,191,62,26,12,4,1,,3,,,
E,5/25/2021,159.5,69,33,7,3,1,1,,,,
E,5/26/2021,140,67,26,10,5,,,1,,,
E,5/27/2021,142.5,54,23,9,3,,,,,,
E,5/28/2021,170,63,33,10,3,,,,,,
E,5/29/2021,144,50,20,1,1,,,,,,
E,5/30/2021,110,36,5,3,1,,,,,,
E,5/31/2021,82.5,53,10,1,,,,,,,
E,6/1/2021,163,55,15,6,1,,,,,,
E,6/2/2021,188,68,23,11,3,2,,,,1,
E,6/3/2021,174.5,56,17,6,,3,,,,,
E,6/4/2021,197,64,14,5,5,4,,,,,
E,6/5/2021,209,43,15,8,4,3,1,3,,,
E,6/6/2021,147.5,51,25,2,2,1,,1,,,
E,6/7/2021,163.5,62,25,12,4,1,,2,,,
E,6/8/2021,241,64,21,11,5,3,,11,,,
E,6/9/2021,172,55,26,10,3,,,2,,,
E,6/10/2021,190,65,24,6,7,2,3,1,,,
E,6/11/2021,186,55,31,5,3,,2,,,,
E,6/12/2021,197.5,60,28,16,2,1,,,,,
E,6/13/2021,162.5,48,23,3,2,1,1,,1,,
E,6/14/2021,134,60,17,6,1,3,,1,1,,
E,6/15/2021,149,60,37,5,,,1,,,,
E,6/16/2021,188,70,32,12,4,1,1,3,,,
E,6/17/2021,220,60,14,13,8,4,,,,,
E,6/18/2021,137.5,54,24,8,1,,,,,,
E,6/19/2021,127,47,22,4,,,,,,,
E,6/20/2021,146,45,20,7,3,,,,,,
E,6/21/2021,150,62,31,7,,,,1,,,
E,6/22/2021,176,60,25,7,6,1,,2,,,
E,6/23/2021,154,48,23,7,2,1,1,,,,
E,6/24/2021,133,64,19,13,1,,1,2,,,
E,6/25/2021,148,45,21,6,1,,,,,,
E,6/26/2021,132,48,18,7,1,1,1,,,,
E,6/27/2021,121,47,18,5,,,,,,,
E,6/28/2021,143.5,57,27,5,2,,,1,,,
E,6/29/2021,170,53,26,10,1,1,,,,,
E,6/30/2021,183.5,57,23,12,5,1,,1,,,
E,7/1/2021,164,55,26,11,,,,,,,
E,7/2/2021,123,55,17,7,3,,,,,,
E,7/3/2021,118.5,54,25,1,,,,,,,
