Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
K,4/28/2021,146,52,23,7,1,,1,3,,,
K,4/29/2021,164,46,22,4,3,3,1,1,,,
K,4/30/2021,176,53,23,10,1,1,,1,,,
K,5/1/2021,156,54,29,7,1,2,,,,,
K,5/2/2021,167,44,20,4,3,1,,,1,,
K,5/3/2021,165,66,26,6,1,3,4,5,2,,
K,5/4/2021,281.5,39,9,11,6,,2,3,,,
K,5/5/2021,139,52,21,7,1,,1,2,,,
K,5/6/2021,160.5,48,28,5,,,,2,,,
K,5/7/2021,158.5,56,27,11,1,,,,,,
K,5/8/2021,138.5,47,24,4,,1,,1,,,
K,5/9/2021,161,54,29,6,2,,1,1,1,,
K,5/10/2021,132,57,21,8,2,,1,2,,,
K,5/11/2021,157.5,60,26,6,1,,4,5,,,
K,5/12/2021,189,54,25,9,2,1,2,4,,,
K,5/13/2021,143.5,54,21,6,2,,2,1,1,,
K,5/14/2021,138.5,61,25,7,5,,,,,,
K,5/15/2021,138.5,40,19,2,2,,,,1,1,
K,5/16/2021,143,52,24,4,4,1,,1,,,
K,5/17/2021,157,52,21,6,4,1,,4,,,
K,5/18/2021,178.5,55,19,6,7,1,1,3,,,
K,5/19/2021,155,48,21,4,5,1,,2,,,
K,5/20/2021,196.5,48,17,9,1,1,,5,1,,
K,5/21/2021,163.5,58,22,8,4,1,1,1,,,
K,5/22/2021,170,51,21,9,3,,1,1,,,
K,5/23/2021,148,33,17,2,1,,1,,,,
K,5/24/2021,133,54,22,7,,,,1,,1,
K,5/25/2021,152,66,28,7,1,,,3,,1,
K,5/26/2021,156,64,28,4,2,1,,2,2,2,
K,5/27/2021,152,53,19,7,2,1,,1,,1,
K,5/28/2021,127,44,17,7,,,,1,,,
K,5/29/2021,139.5,56,20,7,1,1,,1,,,
K,5/30/2021,128.5,38,16,2,1,1,,,,,
K,5/31/2021,99,48,13,1,,,,4,,1,
K,6/1/2021,134.5,70,29,6,2,,,,,,
K,6/2/2021,144,55,31,6,,,,,,,
K,6/3/2021,137.5,56,26,6,3,1,1,1,,,
K,6/4/2021,184,63,28,8,6,2,,5,,,
K,6/5/2021,235,45,13,9,5,2,2,2,,,
K,6/6/2021,155,44,20,4,1,1,1,,,,
K,6/7/2021,178.5,65,35,8,3,4,1,2,,,
K,6/8/2021,201,56,22,14,5,1,2,3,,,
K,6/9/2021,173,53,26,10,1,1,1,1,,,
K,6/10/2021,196,65,22,9,5,5,1,6,,,
K,6/11/2021,170.5,50,19,9,2,1,,1,,,
K,6/12/2021,167,35,18,6,1,1,,,,,
K,6/13/2021,115,56,17,7,,,,1,,,
K,6/14/2021,182.5,60,22,15,,3,1,4,,,
K,6/15/2021,164,44,22,3,3,1,1,2,,,
K,6/16/2021,162,53,28,5,1,1,1,1,,,
K,6/17/2021,157,47,20,7,3,,,1,,,
K,6/18/2021,167.5,44,24,4,3,,,2,,,
K,6/19/2021,148,57,25,5,2,1,,1,,,
K,6/20/2021,140,51,16,8,1,,,3,1,,
K,6/21/2021,148,47,16,6,4,2,,,,,
K,6/22/2021,175,58,25,8,3,1,,1,2,,
K,6/23/2021,184,55,32,10,2,1,,1,,,
K,6/24/2021,137,40,15,2,5,,,,,,
K,6/25/2021,118.5,50,23,2,,,,,,,
K,6/26/2021,126,49,19,4,,,,1,2,,
K,6/27/2021,129,41,18,5,,,,,,,
K,6/28/2021,129,45,22,3,,,,,,,
K,6/29/2021,138,49,24,5,,,1,,,,
K,6/30/2021,145.5,56,32,4,1,1,,,,,
K,7/1/2021,139.5,49,15,9,,2,1,1,,,
K,7/2/2021,154,55,27,5,2,,,2,,,
K,7/3/2021,133,58,20,7,3,,1,1,,,
K,7/4/2021,110,50,16,4,,,1,1,,,
K,7/5/2021,139.5,56,21,10,1,,,,,1,
K,7/6/2021,181,50,21,12,3,,1,1,,,
K,7/7/2021,173,45,19,8,1,2,,1,,,
K,7/8/2021,194,54,22,15,2,,1,2,,,
K,7/9/2021,167,48,24,10,2,1,1,1,,,
K,7/10/2021,155,52,24,5,3,2,1,1,,,
K,7/11/2021,142.5,46,19,6,2,1,,1,,,
K,7/12/2021,171,56,26,11,2,2,,2,,,
K,7/13/2021,156,53,22,7,5,1,,1,,1,
K,7/14/2021,152.5,52,25,10,1,,,2,,,
K,7/15/2021,137,54,27,3,4,1,,1,,,
K,7/16/2021,150,53,28,7,3,,,,,,
K,7/17/2021,143,49,26,5,2,,1,,,,
K,7/18/2021,140.5,52,24,5,,,1,,,1,
K,7/19/2021,189.5,49,25,8,2,1,2,2,,,
K,7/20/2021,138,45,21,1,2,1,1,2,1,1,
K,7/21/2021,141.5,40,21,3,,1,1,,1,,
K,7/22/2021,126,46,17,5,1,2,,,,,
K,7/23/2021,128,48,25,3,,,,,,,
K,7/24/2021,132,46,13,7,2,3,,1,,,
K,7/25/2021,155,57,27,7,2,,,2,,,
K,7/26/2021,158,56,28,11,3,1,,1,,,
K,7/27/2021,156.5,56,26,8,4,1,,2,,1,
K,7/28/2021,169,56,35,6,4,,,,,,
K,7/29/2021,138,52,20,7,2,2,,1,,,
K,7/30/2021,192,61,26,16,6,2,,1,,,
K,7/31/2021,138,37,12,4,,2,1,,1,1,
K,8/1/2021,150,46,22,5,2,,1,1,,,
K,8/2/2021,194.5,50,21,9,4,2,,2,,,
K,8/3/2021,156,47,21,7,,3,,1,,,
K,8/4/2021,174,52,23,5,4,2,1,,,1,
K,8/5/2021,179,45,25,8,3,1,1,,,,
K,8/6/2021,151,61,29,12,,,,2,,1,
K,8/7/2021,134,51,18,6,,2,,4,,,
